0.800	0.600	0.500	0.003
2.400	3.000	1.800	0.270
4.400	5.600	3.600	0.870
1.000	1.000	0.500	0.100
4.300	5.400	3.700	0.850
1.800	1.900	0.700	0.200
3.800	5.200	2.600	0.400
3.000	4.000	2.000	0.300
3.900	5.800	3.900	0.650
3.600	5.100	3.500	0.550
4.600	7.500	3.800	0.920
3.700	5.400	3.700	0.600
0.667	0.500	0.300	0.010
0.800	0.400	0.300	0.050
4.000	6.000	4.000	0.700
1.100	1.200	0.800	0.150
3.400	3.200	4.000	0.750
3.200	4.500	3.400	0.350
4.500	6.400	3.00	0.900
4.900	7.800	3.900	0.980
5.000	8.000	4.000	1.000
